,IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter,PROPERTY: Regulatory Code
20,CITRUS AURANTIUM LEAF OIL,OILS,Procure OILS,41392.0, 72968-50-4, 277-143-2,"Citrus Aurantium Leaf Oil is an essential oil obtained from the leaves of the Sour Orange, Citrus aurantium, Rutaceae",,PERFUMING,,21.0,,3.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,0,No Regulations
21,ORMENIS MULTICAULIS FLOWER OIL,OILS,Procure OILS,40547.0, 92202-02-3, 296-034-0,"Ormenis Multicaulis Flower Oil is an essential oil obtained from the flowers of the Moroccan Chamomile, Ormenis multicaulis, Compositae",,PERFUMING,,56.0,,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
22,FOENICULUM VULGARE FRUIT OIL ,OILS,Procure OILS,39993.0, 84625-39-8, 283-414-6,"Foeniculum Vulgare Fruit Oil is the essential oil steam-distilled from the dried fruits of the Fennel, Foeniculum vulgare, Miller spp. Capillaceum (Gillib) Holmboe var. vulgare Miller, Umbelliferae. Syn. Bitter fennel. It contains anethole (50-60%), fenchone (about 10%), pinene, limonene and phellandrene",,PERFUMING,,49.0,,3.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,No Regulations
23,CYPERUS SCARIOSUS ROOT OIL,OILS,Procure OILS,39474.0, 91771-62-9, 294-955-2,"Cyperus Scariosus Root Oil is an essential oil obtained from the rhizomes of the plant, Cyperus scariosus, Cyperaceae",,PERFUMING,,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
24,COMMIPHORA ABYSSINICA GUM OIL,OILS,Procure OILS,39374.0, 9000-45-7, 232-543-6,"Myrrh Oil; Heerabol. Commiphora Abyssinica Gum Oil is an essential oil obtained from the gum-resin of the Yemen Myrrh, Commiphora abyssinica, Burseraceae",,PERFUMING,,53.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
25,CITRUS SINENSIS VALENCIA PEEL OIL EXPRESSED,OILS,Procure OILS,41420.0, 97766-30-8, 307-891-8,"Citrus Sinensis Valencia Peel oil Expressed is an essential oil expressed from the epicarps of the Sweet Orange Valencia, Citrus sinensis, Rutaceae",,PERFUMING,,81.0,,3.0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,1.0,0,No Regulations
26,LAVANDULA SPICA HERB OIL,OILS,Procure OILS,40372.0, 97722-12-8, 307-762-6,"Spike Oil. Lavandula Spica Herb Oil is an essential oil distilled from the flowering herbs of the Spikenard, Lavandula spica (syn: Lavandula latifolia), Labiatae. It contains eucalyptol (35%), camphor, linalool, borneol, terpineol, D-camphene and sesquiterpenes",,PERFUMING,,68.0,,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
27,THYMUS SERPILLUM OIL,OILS,Procure OILS,41131.0, 84776-98-7, 284-023-3,"Thymus Serpillum Oil is an essential oil obtained from the herbs of the Wild Thyme, Thymus serpillum L., Lamiaceae",,PERFUMING,,69.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
28,PINUS MUGO PUMILIO TWIG LEAF OIL,OILS,Procure OILS,41475.0, 90082-73-8, 290-164-1,"Dwarf Pine Needles Oil; Pinus Pumilio Oil. Pinus Mugo Pumilio Twig Leaf Oil is an essential oil obtained from the twigs leaves of the Mountain Pine, Pinus mugo var. pumilio, (syn. P. turra; syn. Montana Miller), Pinaceae",III/108,PERFUMING,,96.0,,2.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,III
29,EUCALYPTUS SMITHII LEAF OIL,OILS,Procure OILS,39959.0, 91771-68-5, 294-962-0,"Eucalyptus Smithii Leaf Oil is an essential oil obtained from the fresh leaves of the Eucalyptus, Eucalyptus smithii, Myrtaceae. Its chief constituent is eucalyptol (70-80%) accompanied by alpha-pinene, phellandrene, terpineol, citronellal, geranyl acetate, eudesmol, eudesmyl acetate, piperitone, isovaleral and other volatile aldehydes",,PERFUMING,,92.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
30,LAVANDULA INTERMEDIA FLOWER/LEAF/STEM OIL,OILS,Procure OILS,82827.0, 92623-76-2 , 296-408-3 ,"Lavandula Intermedia Flower/Leaf/Stem Oil is the volatile oil obtained from the flowers, leaves and stems of the Lavender, Lavandula intermedia, Labiatae ",,PERFUMING,,43.0,,3.0,1.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,0,No Regulations
31,RAVENSARA AROMATICA TWIG OIL,OILS,Procure OILS,40951.0, 91770-56-8, 294-842-8,"Ravensara Aromatica Twig Oil is an essential oil obtained from the twigs fruit of the plant, Ravensara aromatica, Lauraceae",,PERFUMING,,11.0,,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
32,CINNAMOMUM CAMPHORA LINALOOLIFERUM LEAF OIL,OILS,Procure OILS,39324.0, 91745-89-0, 294-760-2,"Cinnamomum Camphora Linalooliferum Leaf Oil is an essential oil obtained from the leaves of the Camphor Tree, Cinnamomum camphora (L.) var. linalooliferum, Lauraceae. Syn. Ho leaf oil",III/84,PERFUMING,,63.0,,2.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,III
33,THUJOPSIS DOLABRATA LEAF OIL,OILS,Procure OILS,41075.0, 91722-39-3, 294-437-6,"Thujopsis Dolabrata Leaf Oil is an essential oil obtained from the leaves of the Thujopsis dolabrata, Cupressaceae",,PERFUMING,,95.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
34,CITRUS MEDICA ACIDA PEEL OIL EXPRESSED,OILS,Procure OILS,41406.0, 93685-55-3, 297-608-3,"Citrus Medica Acida Peel Oil Expressed is an essential oil expressed from the epicarps of the Citrus, Citrus medica L. var. acida, Rutaceae",,PERFUMING,,37.0,,3.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,No Regulations
35,CITRUS PARADISI M. PEEL OIL EXPRESSED,OILS,Procure OILS,41412.0, 90045-43-5, 289-904-6,"Grapefruit Oil Expressed; Shaddock Oil Expressed. Citrus Paradisi M. Peel Oil is an essential oil expressed from the epicarps of the Grapefruit, Citrus paradisi M., Rutaceae",II/358 R,PERFUMING,,34.0,,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,II
36,THUJA PLICATA LEAF OIL,OILS,Procure OILS,41079.0, 94334-32-4, 305-105-8,"Thuja Plicata Leaf Oil is an essential oil obtained from the leaves of the Thuja, Thuja plicata, Cupressaceae",,PERFUMING,,55.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
37,COMMIPHORA SCHIMPERI GUM OIL,OILS,Procure OILS,39379.0, 89997-88-6, 289-725-3,"Myrrh Oil; Heerabol. Commiphora Schimperi Gum oil is an essential oil obtained from the gum-resin of the myrrh, Commiphora schimperi, Burseraceae",,PERFUMING,,82.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
38,ANETHUM SOWA SEED OIL,OILS,Procure OILS,39060.0, 84775-84-8, 283-912-3,"Anethym Sowa Seed Oil is the essential oil obtained from the herbs and seeds of the dill, Anethum sowa, Apiaceae",,PERFUMING,,52.0,,1.0,0,1.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,No Regulations
39,EUCALYPTUS SPECIES LEAF OIL,OILS,Procure OILS,39961.0, 92502-70-0, 296-357-7,"Eucalyptus Species Leaf Oil is an essential oil distilled from the fresh leaves of different species of Eucalyptus, Eucalyptus spp., Myrtaceae",,PERFUMING,,77.0,,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
