,IDENTIFIER: name,CLASSIFICATION: Component Type,PREPARATION STEP NAME,PROPERTY: Ref No,PROPERTY: CAS No,PROPERTY: EC No,PROPERTY: Description,PROPERTY: Regulations,PROPERTY: Function,PROPERTY: SMILES,PROPERTY: PRICE,PROPERTY: Substantivity,PROPERTY: Odor Strength,PROPERTY: Clean,PROPERTY: Floral,PROPERTY: Rose,PROPERTY: Medicinal,PROPERTY: Phenolic,PROPERTY: Spicy,PROPERTY: Sweet,PROPERTY: Vanilla,PROPERTY: Herbal,PROPERTY: Citrus,PROPERTY: Metallic,PROPERTY: Musk,PROPERTY: Sulfurous,PROPERTY: Bitter,PROPERTY: Regulatory Code
0,CEDRENYL ACETATE,ACETATE,Procure ACETATE,39305.0, 1405-92-1, 215-789-9,"(3R-(3alpha,3abeta,7beta,8aalpha))-2,3,4,7,8,8a-Hexahydro-3,8,8-trimethyl-1H-3a,7-methanoazulene-6-methyl Acetate",,PERFUMING,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC=C3COC(C)=O,10.17417586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
1,TRANS-DIHYDROPSEUDOIONYL ACETATE,ACETATE,Procure ACETATE,39579.0, 3239-35-8, 221-803-4,"(E)-6,10-Dimethylundeca-5,9-dien-2-yl acetate",,PERFUMING,CC(CC\C=C(C)\CCC=C(C)C)OC(C)=O,18.48234427,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
2,P-ANISYL PHENYLACETATE,ACETATE,Procure ACETATE,39080.0, 102-17-0, 203-010-5,4-Methoxybenzyl Phenylacetate,,PERFUMING,COc1ccc(COC(=O)Cc2ccccc2)cc1,8.826232891,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
3,GAMMA-METHYLCINNAMYL ACETATE,ACETATE,Procure ACETATE,40467.0, 20883-16-3, 244-098-5,3-Phenyl-2-butenyl Acetate,,PERFUMING,CC(=O)OCC=C(C)c1ccccc1,6.103325499,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
4,CITRONELLYL PHENYLACETATE,ACETATE,Procure ACETATE,39366.0, 139-70-8, 205-373-5,"3,7-Dimethyl-6-octenyl Phenylacetate",,PERFUMING,CC(CCOC(=O)Cc1ccccc1)CCC=C(C)C,10.2170133,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
5,3-HEXENYL ACETATE,ACETATE,Procure ACETATE,40194.0, 1708-82-3, 216-965-8,Hex-3-enyl acetate,,PERFUMING,CCC=CCCOC(C)=O,16.11356957,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
6,RHODINYL ACETATE,ACETATE,Procure ACETATE,40956.0, 141-11-7, 205-458-7,"3,7-Dimethyl-7-octen-1-ol acetate",,PERFUMING,CC(CCO)CCCC(C)=C.CC(O)=O,4.451183645,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
7,METHYL-OCTAHYDRO-DIMETHYLAZULENYLETHYL ACETATE,ACETATE,Procure ACETATE,40741.0, 134-28-1, 205-135-0,"1-Methyl-1-((3S,8S)-1,2,3,4,5,6,7,8-octahydro-3,8-dimethylazulen-5-yl)ethyl acetate",,PERFUMING,C[C@H]1CCC(CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O,23.51132127,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
8,DIMETHYLBUTYL ACETATE,ACETATE,Procure ACETATE,39600.0, 108-84-9, 203-621-7,"1,3-Dimethylbutyl acetate",,PERFUMING,CC(C)CC(C)OC(C)=O,20.91895309,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
9,GUAIACOL PHENYLACETATE,ACETATE,Procure ACETATE,40101.0, 4112-89-4, 223-898-8,2-Methoxyphenyl phenylacetate,,PERFUMING,COc1ccccc1OC(=O)Cc2ccccc2,12.76041734,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Regulations
